,School Name,SED Code,Location Code,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Number of students who registered for the SHSAT,Number of students who took the SHSAT,AllTested,All4,Native4,AfricanAmerican4,Latino4,Islander4,White4,Multiracial4,LimitedEnglish4,Disadv4,AllMath4Tested,AllMath4,NativeMath4,AfricanAmericanMath4,LatinoMath4,IslanderMath4,WhiteMath4,MultiracialMath4,LimitedEnglishMath4,DisadvMath4,Count of Students in HS Admissions,Count of Testers,Count of Offers
10,P.S. 184M SHUANG WEN,310100010184,01M184,No,0.5589999999999999,"$40,809.90 ",17%,71%,4%,12%,15%,9%,98%,2%,,,,Not Meeting Target,Approaching Target,Approaching Target,Exceeding Target,3.24,3.63,,,62.666666666666664,18.166666666666668,0.0,0.0,0.6666666666666666,14.166666666666666,0.8333333333333334,0.0,0.0,12.0,64.5,36.833333333333336,0.0,0.0,0.8333333333333334,31.5,1.1666666666666667,0.0,2.8333333333333335,26.5,88.0,67.0,23.0
11,P.S. 188 THE ISLAND SCHOOL,310100010188,01M188,Yes,0.917,"$27,881.59 ",16%,2%,30%,64%,93%,4%,91%,37%,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,2.17,2.32,,,46.166666666666664,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,47.166666666666664,3.6666666666666665,0.0,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,3.3333333333333335,59.0,5.0,5.0
12,ORCHARD COLLEGIATE ACADEMY,310100011292,01M292,Yes,0.8320000000000001,,14%,12%,26%,57%,84%,3%,84%,58%,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,1.96,1.83,,,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
13,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",310100010301,01M301,No,0.7909999999999999,,6%,8%,29%,55%,84%,4%,90%,35%,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,2.29,2.0,,,23.333333333333332,1.1666666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,23.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,51.0,11.0,5.0
14,THE EAST VILLAGE COMMUNITY SCHOOL,310100010315,01M315,No,0.36200000000000004,"$63,760.00 ",1%,9%,9%,21%,29%,55%,95%,11%,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,2.86,3.2,,,14.166666666666666,2.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.3333333333333333,14.0,5.833333333333333,0.0,0.0,0.5,0.0,3.5,0.0,0.0,0.6666666666666666,,,
15,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,310100010332,01M332,No,0.7709999999999999,,15%,5%,27%,63%,90%,4%,92%,26%,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,2.26,2.2,,,15.166666666666666,1.6666666666666667,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,15.833333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,68.0,13.0,5.0
16,THE CHILDREN'S WORKSHOP SCHOOL,310100010361,01M361,No,0.451,"$62,519.57 ",7%,10%,10%,39%,49%,38%,93%,23%,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,2.89,2.99,,,12.666666666666666,2.8333333333333335,0.0,0.0,0.3333333333333333,0.0,1.5,0.0,0.0,1.1666666666666667,12.666666666666666,3.5,0.0,0.0,0.3333333333333333,0.0,2.0,0.0,0.0,1.0,,,
17,NEIGHBORHOOD SCHOOL,310100010363,01M363,No,0.43,"$57,504.48 ",4%,5%,13%,34%,47%,45%,93%,23%,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,2.55,2.68,,,5.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,5.333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
18,EARTH SCHOOL,310100010364,01M364,No,0.44799999999999995,"$56,787.20 ",6%,7%,13%,35%,48%,37%,94%,15%,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,3.1,3.08,,,7.166666666666667,1.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,7.166666666666667,2.3333333333333335,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.16666666666666666,,,
19,SCHOOL FOR GLOBAL LEADERS,310100010378,01M378,No,0.764,,8%,15%,22%,58%,81%,2%,92%,27%,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,2.34,2.48,,,37.666666666666664,2.1666666666666665,0.0,0.3333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,1.3333333333333333,37.833333333333336,4.833333333333333,0.0,0.16666666666666666,1.6666666666666667,1.0,0.0,0.0,0.0,3.1666666666666665,96.0,19.0,5.0
20,EAST SIDE COMMUNITY SCHOOL,310100011450,01M450,No,0.61,,1%,11%,21%,53%,74%,12%,97%,5%,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,2.82,2.9,,,35.0,3.1666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.5,1.3333333333333333,0.0,0.0,1.5,34.0,5.5,0.0,0.5,1.1666666666666667,1.1666666666666667,2.0,0.0,0.0,2.1666666666666665,94.0,16.0,5.0
21,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",310100011539,01M539,No,0.257,"$76,833.96 ",0%,33%,9%,11%,20%,42%,97%,3%,Exceeding Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Exceeding Target,3.83,4.03,,,117.83333333333333,73.33333333333333,0.0,3.5,3.1666666666666665,27.166666666666668,35.166666666666664,1.5,0.0,8.666666666666666,96.5,79.33333333333333,0.0,2.6666666666666665,4.333333333333333,26.5,39.833333333333336,1.6666666666666667,0.0,7.833333333333333,136.0,126.0,91.0
22,TOMPKINS SQUARE MIDDLE SCHOOL,310100010839,01M839,No,0.597,,3%,23%,16%,37%,53%,20%,96%,7%,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,2.92,3.01,,,44.333333333333336,9.0,0.0,0.0,2.1666666666666665,2.3333333333333335,2.3333333333333335,0.0,0.0,4.333333333333333,41.5,7.5,0.0,0.0,1.0,3.3333333333333335,2.0,0.0,0.0,3.8333333333333335,126.0,66.0,14.0
23,P.S. 001 ALFRED E. SMITH,310200010001,02M001,No,0.769,"$32,817.79 ",25%,64%,12%,22%,34%,1%,95%,18%,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,2.59,3.14,,,30.333333333333332,4.333333333333333,0.0,0.6666666666666666,0.0,3.6666666666666665,0.0,0.0,0.0,3.0,30.833333333333332,11.833333333333334,0.0,0.5,0.16666666666666666,11.0,0.0,0.0,1.3333333333333333,7.333333333333333,,,
24,P.S. 002 MEYER LONDON,310200010002,02M002,No,0.858,"$26,114.78 ",36%,85%,4%,9%,13%,1%,98%,6%,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,2.75,3.24,,,55.833333333333336,5.333333333333333,0.0,0.0,0.16666666666666666,5.0,0.0,0.0,0.16666666666666666,1.6666666666666667,57.166666666666664,23.833333333333332,0.0,0.0,0.3333333333333333,23.0,0.0,0.0,3.1666666666666665,4.333333333333333,,,
25,P.S. 003 CHARRETTE SCHOOL,310200010003,02M003,No,0.17600000000000002,"$103,399.19 ",4%,7%,5%,12%,18%,70%,95%,13%,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,3.09,3.41,,,51.333333333333336,11.833333333333334,0.0,0.16666666666666666,1.3333333333333333,0.6666666666666666,8.166666666666666,0.6666666666666666,0.0,0.6666666666666666,51.166666666666664,23.333333333333332,0.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,17.333333333333332,1.1666666666666667,0.16666666666666666,2.1666666666666665,,,
26,P.S. 006 LILLIE D. BLAKE,310200010006,02M006,No,0.10099999999999999,"$144,270.13 ",2%,13%,2%,7%,9%,75%,96%,5%,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,3.4,3.71,,,58.5,25.0,0.0,0.0,1.8333333333333333,2.3333333333333335,18.833333333333332,0.0,0.0,1.3333333333333333,59.166666666666664,34.666666666666664,0.0,0.0,2.1666666666666665,4.166666666666667,25.5,0.0,0.0,1.8333333333333333,,,
27,P.S. 011 WILLIAM T. HARRIS,310200010011,02M011,No,0.293,"$98,455.77 ",3%,14%,7%,25%,32%,49%,96%,10%,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,3.12,3.35,,,74.33333333333333,21.166666666666668,0.0,0.0,2.3333333333333335,4.833333333333333,12.333333333333334,0.3333333333333333,0.0,2.1666666666666665,75.0,32.333333333333336,0.0,0.0,4.333333333333333,7.0,18.333333333333332,0.3333333333333333,0.6666666666666666,3.6666666666666665,,,
28,P.S. 033 CHELSEA PREP,310200010033,02M033,No,0.43,"$88,011.14 ",4%,25%,12%,30%,42%,26%,96%,13%,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,3.04,3.4,,,47.0,16.666666666666668,0.0,0.0,1.5,6.333333333333333,7.333333333333333,0.3333333333333333,0.0,3.0,47.333333333333336,23.833333333333332,0.0,0.16666666666666666,2.3333333333333335,9.5,10.166666666666666,0.3333333333333333,0.0,5.5,,,
29,P.S. 040 AUGUSTUS SAINT-GAUDENS,310200010040,02M040,No,0.153,"$102,421.46 ",3%,9%,3%,13%,16%,64%,96%,7%,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,3.39,3.65,,,45.666666666666664,21.5,0.0,0.0,2.1666666666666665,1.8333333333333333,14.833333333333334,0.5,0.0,1.0,46.5,24.833333333333332,0.0,0.0,2.3333333333333335,2.5,17.333333333333332,0.5,0.0,1.6666666666666667,,,
30,P.S. 041 GREENWICH VILLAGE,310200010041,02M041,No,0.066,"$115,909.89 ",2%,9%,2%,10%,11%,69%,97%,2%,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,3.44,3.7,,,54.666666666666664,22.5,0.0,0.0,1.8333333333333333,2.3333333333333335,16.833333333333332,0.5,0.0,0.5,54.5,28.833333333333332,0.0,0.0,2.5,4.166666666666667,20.166666666666668,0.8333333333333334,0.0,0.16666666666666666,,,
31,P.S. 042 BENJAMIN ALTMAN,310200010042,02M042,No,0.785,,27%,93%,0%,4%,4%,2%,98%,2%,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,2.94,3.55,,,63.5,14.333333333333334,0.0,0.0,0.0,7.5,0.0,0.0,0.5,8.5,64.5,36.0,0.0,0.0,0.0,21.333333333333332,0.0,0.0,2.3333333333333335,21.333333333333332,,,
32,P.S. 051 ELIAS HOWE,310200010051,02M051,No,0.626,"$91,149.35 ",9%,24%,12%,42%,55%,20%,94%,15%,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,2.55,2.83,,,23.0,2.6666666666666665,0.0,0.16666666666666666,1.0,0.5,0.5,0.0,0.0,1.0,23.333333333333332,5.333333333333333,0.0,0.16666666666666666,1.8333333333333333,1.8333333333333333,0.5,0.0,0.0,1.8333333333333333,,,
33,P.S. 059 BEEKMAN HILL INTERNATIONAL,310200010059,02M059,No,0.075,"$116,235.64 ",4%,15%,2%,13%,15%,59%,96%,6%,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,3.24,3.62,,,46.333333333333336,16.166666666666668,0.0,0.0,1.8333333333333333,1.6666666666666667,10.666666666666666,0.6666666666666666,0.0,1.1666666666666667,47.0,24.5,0.0,0.0,3.3333333333333335,2.8333333333333335,15.666666666666666,0.5,0.0,2.5,,,
34,P.S. 77 LOWER LAB SCHOOL,310200010077,02M077,No,0.069,"$105,947.71 ",0%,27%,0%,5%,6%,59%,97%,1%,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,3.73,3.91,,,29.0,20.833333333333332,0.0,0.0,0.8333333333333334,3.0,12.833333333333334,0.5,0.0,0.0,29.0,23.666666666666668,0.0,0.0,0.8333333333333334,4.833333333333333,13.666666666666666,0.0,0.0,0.0,,,
35,P.S. 89,310200010089,02M089,No,0.068,"$181,382.06 ",4%,16%,2%,14%,16%,62%,96%,6%,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,3.23,3.71,,,25.5,10.166666666666666,0.0,0.0,0.6666666666666666,1.1666666666666667,5.833333333333333,0.0,0.0,0.0,26.166666666666668,14.333333333333334,0.0,0.0,1.5,1.5,8.666666666666666,0.0,0.0,0.0,,,
36,J.H.S. 104 SIMON BARUCH,310200010104,02M104,No,0.522,,5%,40%,8%,21%,29%,28%,96%,11%,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,3.05,3.25,,,174.0,44.5,0.16666666666666666,1.1666666666666667,4.5,17.833333333333332,19.833333333333332,0.3333333333333333,0.0,15.833333333333334,158.33333333333334,54.666666666666664,0.16666666666666666,0.3333333333333333,4.166666666666667,26.166666666666668,22.0,0.6666666666666666,0.5,21.666666666666668,386.0,260.0,53.0
37,P.S. 111 ADOLPH S. OCHS,310200010111,02M111,No,0.645,"$70,970.41 ",12%,18%,16%,50%,66%,13%,92%,26%,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,2.39,2.47,,,30.333333333333332,3.1666666666666665,0.0,0.16666666666666666,0.6666666666666666,1.1666666666666667,0.6666666666666666,0.0,0.16666666666666666,1.0,31.166666666666668,4.0,0.0,0.16666666666666666,0.8333333333333334,1.5,1.1666666666666667,0.0,0.5,1.5,,,
38,EAST SIDE MIDDLE SCHOOL,310200010114,02M114,No,0.10400000000000001,,0%,15%,3%,9%,12%,66%,98%,2%,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,3.66,3.94,,,71.83333333333333,45.166666666666664,0.5,0.16666666666666666,3.6666666666666665,7.666666666666667,28.833333333333332,1.5,0.0,2.5,71.83333333333333,56.5,0.8333333333333334,0.3333333333333333,3.1666666666666665,10.166666666666666,36.333333333333336,0.0,0.0,3.3333333333333335,152.0,124.0,75.0
39,P.S. 116 MARY LINDLEY MURRAY,310200010116,02M116,No,0.307,"$96,174.16 ",11%,20%,9%,22%,30%,44%,95%,14%,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,3.07,3.17,,,52.333333333333336,12.833333333333334,0.0,0.0,1.1666666666666667,3.1666666666666665,7.5,0.0,0.0,1.5,54.666666666666664,14.5,0.0,0.0,0.8333333333333334,5.166666666666667,7.833333333333333,0.0,1.0,2.3333333333333335,,,
40,P.S. 124 YUNG WING,310200010124,02M124,No,0.578,"$42,493.71 ",29%,95%,0%,3%,3%,1%,98%,2%,Approaching Target,Approaching Target,Exceeding Target,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,3.1,3.55,,,65.16666666666667,15.833333333333334,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.166666666666667,65.66666666666667,32.166666666666664,0.0,0.0,0.0,18.0,0.0,0.0,1.8333333333333333,14.333333333333334,,,
41,P.S. 126 JACOB AUGUST RIIS,310200010126,02M126,No,0.728,"$38,919.61 ",17%,59%,11%,21%,32%,8%,96%,10%,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,2.93,3.29,,,82.5,19.833333333333332,0.0,0.3333333333333333,2.0,12.5,3.8333333333333335,0.5,0.0,10.0,66.5,26.333333333333332,0.0,0.0,1.5,19.666666666666668,3.6666666666666665,0.0,0.8333333333333334,14.0,112.0,66.0,18.0
42,P.S. 130 HERNANDO DE SOTO,310200010130,02M130,No,0.616,"$59,851.21 ",13%,88%,1%,5%,6%,3%,99%,2%,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,3.09,3.61,,,78.16666666666667,22.5,0.0,0.0,0.6666666666666666,20.333333333333332,0.0,0.0,0.0,9.0,78.66666666666667,43.5,0.0,0.0,1.1666666666666667,39.833333333333336,0.0,0.0,0.6666666666666666,18.833333333333332,,,
43,M.S. 131,310200010131,02M131,No,0.8370000000000001,,35%,77%,8%,14%,22%,0%,97%,9%,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,2.49,3.02,,,56.666666666666664,6.166666666666667,0.0,0.0,0.3333333333333333,5.833333333333333,0.0,0.0,0.0,2.8333333333333335,62.333333333333336,14.5,0.0,0.0,0.0,14.333333333333334,0.0,0.0,3.1666666666666665,8.833333333333334,138.0,54.0,7.0
44,P.S. 150,310200010150,02M150,No,0.196,"$132,795.44 ",2%,16%,5%,14%,19%,55%,95%,5%,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,3.37,3.43,,,12.5,5.5,0.0,0.0,0.3333333333333333,0.0,3.6666666666666665,0.0,0.0,0.3333333333333333,12.666666666666666,7.166666666666667,0.0,0.0,0.16666666666666666,0.0,4.5,0.0,0.0,0.5,,,
45,YORKVILLE COMMUNITY SCHOOL,310200010151,02M151,No,0.36700000000000005,"$81,690.71 ",7%,7%,14%,27%,41%,47%,94%,16%,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,2.83,3.2,,,44.5,12.166666666666666,0.0,0.0,1.1666666666666667,0.5,8.5,0.5,0.0,0.5,45.833333333333336,17.666666666666668,0.0,0.3333333333333333,1.8333333333333333,1.0,12.0,0.5,0.5,0.8333333333333334,,,
46,P.S. 158 BAYARD TAYLOR,310200010158,02M158,No,0.11,"$94,194.68 ",5%,11%,4%,10%,14%,71%,96%,8%,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,3.49,3.74,,,50.166666666666664,21.0,0.0,0.0,1.1666666666666667,3.1666666666666665,15.333333333333334,0.0,0.0,1.5,51.0,27.5,0.0,0.0,1.8333333333333333,2.6666666666666665,21.0,0.0,0.8333333333333334,1.8333333333333333,,,
47,J.H.S. 167 ROBERT F. WAGNER,310200010167,02M167,No,0.36,,4%,28%,8%,19%,27%,42%,96%,9%,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,3.08,3.34,,,208.5,60.0,0.0,1.6666666666666667,4.166666666666667,20.833333333333332,31.333333333333332,0.0,0.16666666666666666,16.333333333333332,194.16666666666666,82.0,0.0,2.1666666666666665,5.166666666666667,32.666666666666664,39.166666666666664,0.0,2.3333333333333335,28.833333333333332,430.0,258.0,77.0
48,YORKVILLE EAST MIDDLE SCHOOL,310200010177,02M177,No,0.271,,1%,11%,11%,30%,40%,42%,96%,9%,,,,,,,,3.13,3.59,,,21.833333333333332,5.0,0.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,2.3333333333333335,0.0,0.0,0.3333333333333333,21.666666666666668,8.333333333333334,0.0,0.3333333333333333,1.5,1.6666666666666667,4.0,0.0,0.0,1.3333333333333333,82.0,42.0,5.0
49,P.S. 183 ROBERT L. STEVENSON,310200010183,02M183,No,0.07400000000000001,"$104,700.89 ",6%,17%,4%,10%,14%,66%,96%,7%,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,3.26,3.39,,,41.5,13.666666666666666,0.0,0.0,0.6666666666666666,3.8333333333333335,8.333333333333334,0.0,0.0,0.3333333333333333,43.0,21.5,0.0,0.0,1.0,5.166666666666667,14.0,0.0,0.6666666666666666,1.1666666666666667,,,
50,P.S. 198 ISADOR E. IDA STRAUS,310200010198,02M198,No,0.365,"$81,932.76 ",7%,16%,10%,27%,37%,45%,94%,19%,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,2.73,2.97,,,38.166666666666664,9.333333333333334,0.0,0.5,1.5,1.5,5.333333333333333,0.0,0.0,1.5,38.333333333333336,16.0,0.0,0.6666666666666666,2.1666666666666665,2.6666666666666665,8.666666666666666,0.0,0.0,3.0,,,
